relative_time_s,lord_x_g,lord_y_g,prototype_calibrated_to_lord_y_g,lord_z_g,prototype_calibrated_to_lord_z_g,lord_x_norm,lord_y_norm,prototype_y_norm,lord_z_norm,prototype_z_norm,our_y_raw,our_z_raw,sample_ts_utc,sample_ts_et,batch_id,sample_in_batch
2.080,0.960687633,0.260994300,0.241712887,-0.030817489,0.034949606,-0.339266689,0.594797348,0.749432462,-0.201049487,0.146988188,726,91,2026-05-03T23:57:13.657Z,2026-05-03 19:57:13.657,102629,67
2.120,0.956971507,0.290888209,0.264397124,0.008635122,0.064587147,-0.394775901,0.705407798,0.869601178,-0.018987883,0.343222560,811,224,2026-05-03T23:57:13.697Z,2026-05-03 19:57:13.697,102629,68
2.160,0.953899636,0.311961243,0.263279974,0.046252353,0.089484428,-0.440661631,0.783380126,0.863683127,0.154604011,0.508070994,770,354,2026-05-03T23:57:13.737Z,2026-05-03 19:57:13.737,102629,69
2.200,0.956286049,0.308110368,0.256705995,0.078421886,0.095476836,-0.405014857,0.769131505,0.828857770,0.303056462,0.547747579,725,391,2026-05-03T23:57:13.777Z,2026-05-03 19:57:13.777,102629,70
2.240,0.958676171,0.297239302,0.239532798,0.100158556,0.094983702,-0.369312668,0.728907476,0.737883538,0.403364474,0.544482471,630,404,2026-05-03T23:57:13.817Z,2026-05-03 19:57:13.817,102629,71
2.280,0.962855983,0.274351953,0.249903022,0.101976716,0.086952713,-0.306877198,0.644222000,0.792819326,0.411754719,0.491308151,699,353,2026-05-03T23:57:13.857Z,2026-05-03 19:57:13.857,102629,72
2.320,0.961816201,0.276927252,0.313643963,0.088772332,0.089217635,-0.322408820,0.653750861,1.130484076,0.350820568,0.506304522,1051,307,2026-05-03T23:57:13.897Z,2026-05-03 19:57:13.897,102629,73
2.360,0.947763324,0.340220202,0.388736989,0.070312767,0.063742173,-0.532322118,0.887941095,1.528285981,0.265635383,0.337627869,1505,107,2026-05-03T23:57:13.937Z,2026-05-03 19:57:13.937,102629,74
2.400,0.920980513,0.487153506,0.332828638,0.077902149,0.062653604,-0.932387383,1.431608986,1.232114024,0.300658033,0.330420299,1195,152,2026-05-03T23:57:13.977Z,2026-05-03 19:57:13.977,102629,75
2.440,0.931538439,0.407303195,0.378514205,-0.002825529,0.040143669,-0.774679539,1.136154864,1.474131246,-0.071875242,0.181378817,1481,-6,2026-05-03T23:57:14.017Z,2026-05-03 19:57:14.017,102629,76
2.480,0.911438022,0.498543501,0.352047113,0.016335217,0.069873972,-1.074927291,1.473753103,1.333923026,0.016545675,0.378227382,1292,172,2026-05-03T23:57:14.057Z,2026-05-03 19:57:14.057,102629,77
2.520,0.915478487,0.414271878,0.373799613,0.001034053,0.057849330,-1.014573288,1.161939687,1.449155910,-0.054064468,0.298610519,1430,90,2026-05-03T23:57:14.097Z,2026-05-03 19:57:14.097,102629,78
2.560,0.895021253,0.501284547,0.373374381,0.041448634,0.079779260,-1.320150958,1.483895246,1.446903261,0.132436334,0.443811701,1397,204,2026-05-03T23:57:14.137Z,2026-05-03 19:57:14.137,102629,79
2.600,0.898210013,0.432379162,0.275392143,0.021244727,0.047593454,-1.272519205,1.228938446,0.927846792,0.039201546,0.230704901,896,126,2026-05-03T23:57:14.177Z,2026-05-03 19:57:14.177,102629,80
2.640,1.104611120,0.515652711,-0.326120304,-0.015455430,0.503925945,1.810574451,1.537058889,-2.258638154,-0.130158333,3.252147150,-3093,3035,2026-05-03T23:57:14.217Z,2026-05-03 19:57:14.217,102629,81
