relative_time_s,lord_ch1_x_g,our_calibrated_to_lord_ch1_x_g,lord_ch3_z_g,our_calibrated_to_lord_ch3_z_g,lord_ch1_x_norm,our_calibrated_ch1_x_norm,lord_ch3_z_norm,our_calibrated_ch3_z_norm,our_x_raw,our_z_raw,sample_ts_utc,sample_ts_et,batch_id,sample_in_batch
1.520,1.009824224,0.982940348,-0.085687507,-0.065587976,0.394705691,-0.099055135,-0.454257661,-0.529436462,3804,-300,2026-05-03T23:57:13.097Z,2026-05-03 19:57:13.097,102629,53
1.560,1.005492010,0.982680366,-0.079987628,0.005920931,0.329993733,-0.155054919,-0.427954479,-0.046151978,3804,60,2026-05-03T23:57:13.137Z,2026-05-03 19:57:13.137,102629,54
1.600,0.999958634,0.981499344,-0.051752098,0.064453434,0.247339547,-0.409446216,-0.297656236,0.349433011,3829,342,2026-05-03T23:57:13.177Z,2026-05-03 19:57:13.177,102629,55
1.640,0.992680719,0.981539883,0.060993188,0.063955474,0.138626491,-0.400714114,0.222628406,0.346067611,3828,340,2026-05-03T23:57:13.217Z,2026-05-03 19:57:13.217,102629,56
1.680,0.981941576,0.982439786,0.101135293,0.061441022,-0.021788265,-0.206875744,0.407871811,0.329073982,3805,339,2026-05-03T23:57:13.257Z,2026-05-03 19:57:13.257,102629,57
1.720,0.996030686,0.981563285,0.063954145,0.089476072,0.188666252,-0.395673282,0.236292310,0.518545551,3825,470,2026-05-03T23:57:13.297Z,2026-05-03 19:57:13.297,102629,58
1.760,0.985565217,0.981393809,0.098614728,0.082828620,0.032339464,-0.432178264,0.396240184,0.473619531,3830,434,2026-05-03T23:57:13.337Z,2026-05-03 19:57:13.337,102629,59
1.800,0.987745428,0.982333237,0.125462645,0.048137899,0.064906132,-0.229826420,0.520135024,0.239166399,3809,270,2026-05-03T23:57:13.377Z,2026-05-03 19:57:13.377,102629,60
1.840,0.989707530,0.982216479,0.074999625,0.026990029,0.094214805,-0.254975889,0.287263783,0.096241026,3814,161,2026-05-03T23:57:13.417Z,2026-05-03 19:57:13.417,102629,61
1.880,0.984425473,0.983344158,0.033808203,-0.006217772,0.015314674,-0.012074635,0.097178104,-0.128189966,3788,7,2026-05-03T23:57:13.457Z,2026-05-03 19:57:13.457,102629,62
