relative_time_s,lord_ch1_norm,lord_ch2_norm,lord_ch3_norm,our_x_norm_original,our_y_norm_original,our_z_norm_original,our_mapped_to_lord_ch1_norm,our_mapped_to_lord_ch2_norm,our_mapped_to_lord_ch3_norm,lord_dynamic_magnitude_norm,our_dynamic_magnitude_norm,our_x_raw,our_y_raw,our_z_raw,sample_ts_utc,sample_ts_et,batch_id,sample_in_batch
2.880,1.09220962,-0.87330049,0.09630106,-1.98075390,-0.50236866,-2.87285680,1.98075390,-0.50236866,-2.87285680,-0.13118254,1.61934644,3557,-526,-1992,2026-05-03T23:57:14.457Z,2026-05-03 19:57:14.457,102629,87
2.920,-1.59173318,-0.53615927,-3.42846968,-0.97199315,-1.34517142,-1.40773261,0.97199315,-1.34517142,-1.40773261,2.22783252,0.94606388,3673,-1356,-923,2026-05-03T23:57:14.497Z,2026-05-03 19:57:14.497,102629,88
2.960,1.97453613,-1.69878723,-0.95890855,-0.80676510,-1.05983700,-1.03357087,0.80676510,-1.05983700,-1.03357087,1.11598909,0.40686477,3692,-1075,-650,2026-05-03T23:57:14.537Z,2026-05-03 19:57:14.537,102629,89
3.000,-0.78178319,-0.55142531,-1.57243941,-0.91111966,-0.90752324,0.00256934,0.91111966,-0.90752324,0.00256934,0.45171058,-0.13531751,3680,-925,106,2026-05-03T23:57:14.577Z,2026-05-03 19:57:14.577,102629,90
3.040,0.37469311,-1.04785969,-0.45350548,-0.11976425,-1.44163680,0.65358335,0.11976425,-1.44163680,0.65358335,0.11020392,0.69343694,3771,-1451,581,2026-05-03T23:57:14.617Z,2026-05-03 19:57:14.617,102629,91
3.080,0.84848941,-1.07230328,0.84951090,-0.08497940,-0.67600634,0.30546217,0.08497940,-0.67600634,0.30546217,0.32573209,-0.40940832,3775,-697,327,2026-05-03T23:57:14.657Z,2026-05-03 19:57:14.657,102629,92
3.120,0.00253598,-0.71146721,1.31342552,-0.48500521,-1.54927185,1.10997845,0.48500521,-1.54927185,1.10997845,0.30511556,1.01295485,3729,-1557,914,2026-05-03T23:57:14.697Z,2026-05-03 19:57:14.697,102629,93
3.160,0.96245771,-1.48754773,0.25097805,-0.57196734,-0.75927119,0.69195892,0.57196734,-0.75927119,0.69195892,0.61249824,-0.12872023,3719,-779,609,2026-05-03T23:57:14.737Z,2026-05-03 19:57:14.737,102629,94
3.200,-0.36067853,-0.66842970,0.88997469,-0.40673929,-1.47413040,1.07845566,0.40673929,-1.47413040,1.07845566,-0.05177027,0.90716338,3738,-1483,891,2026-05-03T23:57:14.777Z,2026-05-03 19:57:14.777,102629,95
3.240,1.36079661,-1.48592165,0.84612190,-0.81546131,-0.82832009,-0.16875014,0.81546131,-0.82832009,-0.16875014,0.79517622,-0.23175091,3691,-847,-19,2026-05-03T23:57:14.817Z,2026-05-03 19:57:14.817,102629,96
3.280,-0.31861922,-0.60849552,0.78470522,-0.62414462,-1.36344907,0.11495491,0.62414462,-1.36344907,0.11495491,-0.17890717,0.48484916,3713,-1374,188,2026-05-03T23:57:14.857Z,2026-05-03 19:57:14.857,102629,97
3.320,1.04621093,-1.47857455,-0.24964521,-1.38941139,-0.90041527,-0.79783527,1.38941139,-0.90041527,-0.79783527,0.60569491,0.10427185,3625,-918,-478,2026-05-03T23:57:14.897Z,2026-05-03 19:57:14.897,102629,98
3.360,-0.41157711,-0.70264335,-0.29289630,-1.31984169,-1.27409167,-1.15829145,1.31984169,-1.27409167,-1.15829145,-0.34064215,0.72484335,3633,-1286,-741,2026-05-03T23:57:14.937Z,2026-05-03 19:57:14.937,102629,99
3.400,0.85185859,-1.36787233,-1.37136919,-1.71986750,-0.84152062,-1.59549876,1.71986750,-0.84152062,-1.59549876,0.91836207,0.61699854,3587,-860,-1060,2026-05-03T23:57:14.977Z,2026-05-03 19:57:14.977,102629,100
3.440,-0.37370916,-0.63328590,-1.18559783,1.35859201,-0.00176413,-1.46940763,-1.35859201,-0.00176413,-1.46940763,0.15089292,0.11916259,3941,-33,-968,2026-05-03T23:57:15.017Z,2026-05-03 19:57:15.017,102630,1
3.480,1.69910808,-0.79570944,-1.37660885,2.81085963,2.43220962,-2.27255334,-2.81085963,2.43220962,-2.27255334,0.49445888,2.68020127,4108,2364,-1554,2026-05-03T23:57:15.057Z,2026-05-03 19:57:15.057,102630,2
3.520,-1.14483946,2.68506384,-1.98766459,-2.05032360,0.87150138,-1.30768204,2.05032360,0.87150138,-1.30768204,2.60668397,0.42601298,3549,827,-850,2026-05-03T23:57:15.097Z,2026-05-03 19:57:15.097,102630,3
3.560,-1.33111817,0.55726732,-1.49165081,0.39331234,1.95597529,-0.47164298,-0.39331234,1.95597529,-0.47164298,0.41514304,1.33041093,3830,1895,-240,2026-05-03T23:57:15.137Z,2026-05-03 19:57:15.137,102630,4
3.600,-1.89948563,2.33467521,0.77973243,0.84551543,1.34875114,1.31693238,-0.84551543,1.34875114,1.31693238,1.77589822,0.89374659,3882,1297,1065,2026-05-03T23:57:15.177Z,2026-05-03 19:57:15.177,102630,5
3.640,-0.78810216,0.86535552,1.19354413,0.34983127,1.23908523,1.15657734,-0.34983127,1.23908523,1.15657734,0.34707485,0.67462492,3825,1189,948,2026-05-03T23:57:15.217Z,2026-05-03 19:57:15.217,102630,6
3.680,-1.21497486,1.48585884,1.51725180,0.43679340,1.55691326,0.82079117,-0.43679340,1.55691326,0.82079117,1.13578589,0.90009042,3835,1502,703,2026-05-03T23:57:15.257Z,2026-05-03 19:57:15.257,102630,7
3.720,-1.17781626,1.22932432,0.98140712,-0.14585289,1.03701566,1.71850524,0.14585289,1.03701566,1.71850524,0.57369450,0.85906468,3768,990,1358,2026-05-03T23:57:15.297Z,2026-05-03 19:57:15.297,102630,8
