relative_time_s,sensor_ts_utc,thingy_aligned_ts_utc,sensor_ch1_g,sensor_ch2_g,sensor_ch3_g,sensor_mag_raw_g,sensor_mag_z,thingy_x_raw_interp,thingy_y_raw_interp,thingy_z_raw_interp,thingy_mag_raw_counts_interp,thingy_mag_z_interp
4.7421875,2026-05-04T22:12:13.250000Z,2026-05-04T22:13:14.674062500Z,0.9314221739768982,0.3283702731132507,0.0770594999194145,0.9906121687967255,-0.5212438763680068,3779.7499999999995,-73.00000000000192,184.2421875000021,3789.5729747867927,-0.5419088691728899
4.75,2026-05-04T22:12:13.257812Z,2026-05-04T22:13:14.681875Z,0.93565571308136,0.3107887208461761,0.0845941379666328,0.9895440417714152,-0.5297128157467776,3773.4999999999995,-123.00000000000188,239.51562500000205,3786.223548123015,-0.5497472173056198
4.7578125,2026-05-04T22:12:13.265625Z,2026-05-04T22:13:14.689687500Z,0.94435715675354,0.2929278612136841,0.0968955978751182,0.9934817201511209,-0.49849184792121853,3767.2499999999995,-173.00000000000182,294.789062500002,3782.874121459237,-0.5575855654383509
4.765625,2026-05-04T22:12:13.273437Z,2026-05-04T22:13:14.697500Z,0.9481220245361328,0.283632755279541,0.1088126301765442,0.9956018791484358,-0.4816815832278423,3769.4375,-173.49999999999994,367.5000000000026,3794.052747942583,-0.5314252774792771
4.7734375,2026-05-04T22:12:13.281250Z,2026-05-04T22:13:14.705312500Z,0.9459661841392516,0.2807775139808655,0.1183923855423927,0.9938333818335295,-0.4957036013928714,3771.9765625,-171.93749999999994,440.93750000000256,3805.836709973726,-0.5038483796830455
4.78125,2026-05-04T22:12:13.289062Z,2026-05-04T22:13:14.713125Z,0.9446226954460144,0.283306896686554,0.12568099796772,0.9941682693146173,-0.4930483537408258,3774.515625,-170.37499999999994,514.3750000000025,3817.6206720048685,-0.4762714818868149
4.7890625,2026-05-04T22:12:13.296875Z,2026-05-04T22:13:14.720937500Z,0.9416857957839966,0.2829810082912445,0.1303863078355789,0.9918926243832357,-0.5110914314973117,3777.0546875,-168.81249999999994,587.8125000000024,3829.4046340360114,-0.44869458409058327
4.796875,2026-05-04T22:12:13.304687Z,2026-05-04T22:13:14.728750Z,0.943622887134552,0.2813051044940948,0.140857920050621,0.9946847081259308,-0.4889536263514617,3779.59375,-167.24999999999994,661.2500000000023,3841.188596067154,-0.4211176862943527
4.8046875,2026-05-04T22:12:13.312500Z,2026-05-04T22:13:14.736562500Z,0.9415451884269714,0.2777205109596252,0.1496688276529312,0.9929938479309222,-0.5023600772231118,3789.1875000000005,-154.03906249999952,754.046875000003,3870.550918303736,-0.35240380574736013
4.8125,2026-05-04T22:12:13.320312Z,2026-05-04T22:13:14.744375Z,0.939608097076416,0.2765256464481354,0.1611245721578598,0.9926182231795748,-0.5053383215451316,3800.1250000000005,-138.60937499999955,850.531250000003,3903.2614996270686,-0.27585430943831823
4.8203125,2026-05-04T22:12:13.328125Z,2026-05-04T22:13:14.752187500Z,0.9380146265029908,0.2755170166492462,0.187265157699585,0.99541413757546,-0.4831701440101563,3811.0625000000005,-123.17968749999955,947.0156250000028,3935.9720809504006,-0.1993048131292774
4.828125,2026-05-04T22:12:13.335937Z,2026-05-04T22:13:14.760000Z,0.9403579235076904,0.2812585532665253,0.233703151345253,1.0089581562374013,-0.3757826608036577,3822.0000000000005,-107.74999999999956,1043.5000000000027,3968.682662273733,-0.12275531682023547
4.8359375,2026-05-04T22:12:13.343750Z,2026-05-04T22:13:14.767812500Z,0.9389363527297974,0.2905071079730988,0.2935958504676819,1.025765264411049,-0.24252287345419712,3832.9375000000005,-92.32031249999957,1139.9843750000027,4001.393243597065,-0.04620582051119462
4.84375,2026-05-04T22:12:13.351562Z,2026-05-04T22:13:14.775625Z,0.9350621104240416,0.30118328332901,0.3584091365337372,1.0457101078493811,-0.08438468764316666,3844.8593750000005,-98.26562500000038,1320.9843750000057,4080.859792771093,0.1397622689140598
4.8515625,2026-05-04T22:12:13.359375Z,2026-05-04T22:13:14.783437500Z,0.9282978177070618,0.3056989312171936,0.4075841903686523,1.0589209352664144,0.020360996987134814,3857.1640625000005,-112.52343750000037,1534.8515625000055,4178.5092183315,0.36828203344005783
4.859375,2026-05-04T22:12:13.367187Z,2026-05-04T22:13:14.791250Z,0.9270480871200562,0.2988401055335999,0.4299574792385101,1.0647004266278013,0.06618528643950061,3869.4687500000005,-126.78125000000036,1748.7187500000052,4276.158643891907,0.5968017979660547
4.8671875,2026-05-04T22:12:13.375000Z,2026-05-04T22:13:14.799062500Z,0.9293913245201112,0.2815068364143372,0.4322486221790314,1.0629455321967,0.05227112248618179,3881.7734375000005,-141.03906250000034,1962.585937500005,4373.808069452314,0.8253215624920538
4.875,2026-05-04T22:12:13.382812Z,2026-05-04T22:13:14.806875Z,0.9396237134933472,0.2625442147254944,0.4478253424167633,1.0734848508272232,0.13583501372797274,3894.0781250000005,-155.29687500000034,2176.453125000005,4471.457495012722,1.0538413270180529
