relative_time_s,sensor_ts_utc,thingy_aligned_ts_utc,sensor_ch1_g,sensor_ch2_g,sensor_ch3_g,sensor_dynamic_mag_z,thingy_x_raw_interp,thingy_y_raw_interp,thingy_z_raw_interp,thingy_dynamic_mag_z_interp
22.687499988,2026-05-04T22:12:31.195312Z,2026-05-04T22:13:32.619374988Z,0.9375303387641908,0.3321255445480347,0.0645735263824462,-0.5012782818029368,3784.218744599999,-0.9531289000007195,-491.39065650000583,-0.5256738787611063
22.695312488,2026-05-04T22:12:31.203125Z,2026-05-04T22:13:32.627187488Z,0.9381240010261536,0.3314893245697021,0.0813650116324424,-0.5194486506006322,3787.734369599999,1.5859335999993347,-470.8828440000054,-0.5291487198299168
22.703124988,2026-05-04T22:12:31.210937Z,2026-05-04T22:13:32.634999988Z,0.9365774393081664,0.3289909660816193,0.0997095555067062,-0.5110393569812658,3791.2499945999994,4.124996099999389,-450.3750315000049,-0.5326235608987273
22.710937488,2026-05-04T22:12:31.218750Z,2026-05-04T22:13:32.642812488Z,0.938295841217041,0.3277806043624878,0.1167624443769455,-0.5465694744934765,3794.7656195999994,6.664058599999443,-429.8672190000045,-0.5360984019675378
22.718749988,2026-05-04T22:12:31.226562Z,2026-05-04T22:13:32.650624988Z,0.9390612840652466,0.32917720079422,0.1296789646148682,-0.5455357430167695,3797.8281283000006,9.23437049999942,-407.10944970000963,-0.5377661986931679
22.726562488,2026-05-04T22:12:31.234375Z,2026-05-04T22:13:32.658437488Z,0.9376084804534912,0.3277806043624878,0.1419342905282974,-0.5489134356053204,3795.6796908000006,12.164057999999482,-358.4766372000086,-0.518652551773198
22.734374988,2026-05-04T22:12:31.242187Z,2026-05-04T22:13:32.666249988Z,0.9382489919662476,0.325033962726593,0.1558041870594025,-0.5294037937571572,3793.5312533,15.093745499999544,-309.8438247000076,-0.4995389048532281
22.742187488,2026-05-04T22:12:31.250000Z,2026-05-04T22:13:32.674062488Z,0.9393268823623656,0.3242425620555878,0.1670138835906982,-0.5003403428849786,3791.3828158,18.023432999999606,-261.2110122000065,-0.48042525793325824
22.749999988,2026-05-04T22:12:31.257812Z,2026-05-04T22:13:32.681874988Z,0.9371554255485536,0.3250029385089874,0.1753634959459305,-0.5059916916069671,3789.2343783,20.95312049999967,-212.57819970000548,-0.4613116110132883
22.757812488,2026-05-04T22:12:31.265625Z,2026-05-04T22:13:32.689687488Z,0.9374522566795348,0.3259339928627014,0.1848048716783524,-0.48000315007665195,3787.0859408,23.882807999999734,-163.94538720000446,-0.44219796409331846
22.765624988,2026-05-04T22:12:31.273437Z,2026-05-04T22:13:32.697499988Z,0.9371398091316224,0.3256857097148895,0.1928623169660568,-0.4673500848442079,3793.1874900999996,21.00000480000022,-107.62508700000397,-0.46005444948908353
22.773437488,2026-05-04T22:12:31.281250Z,2026-05-04T22:13:32.705312488Z,0.939233124256134,0.3267564177513123,0.1990591734647751,-0.42632839814775936,3799.6328025999996,17.875004800000152,-50.98446200000277,-0.4794514186816603
22.781249988,2026-05-04T22:12:31.289062Z,2026-05-04T22:13:32.713124988Z,0.9377334713935852,0.3266478180885315,0.202518954873085,-0.435732072360163,3806.0781150999996,14.750004800000086,5.656162999998438,-0.4988483878742371
22.789062488,2026-05-04T22:12:31.296875Z,2026-05-04T22:13:32.720937488Z,0.933203101158142,0.3268805742263794,0.2019807696342468,-0.48696617172343404,3812.5234276,11.62500480000002,62.296787999999644,-0.5182453570668138
22.796874988,2026-05-04T22:12:31.304687Z,2026-05-04T22:13:32.728749988Z,0.9376553297042848,0.3293944299221039,0.2017501145601273,-0.4280828743698565,3818.9687401,8.500004799999953,118.93741300000086,-0.5376423262593906
22.804687488,2026-05-04T22:12:31.312500Z,2026-05-04T22:13:32.736562488Z,0.938045859336853,0.3299220502376556,0.2011042982339859,-0.4228420282769455,3820.3281244,4.882818200000142,172.296793999998,-0.541080381130997
22.812499988,2026-05-04T22:12:31.320312Z,2026-05-04T22:13:32.744374988Z,0.9344996809959412,0.3305427432060242,0.1970601826906204,-0.4687891959263484,3820.7187494,1.1718807000003926,225.03116899999443,-0.541478608058052
22.820312488,2026-05-04T22:12:31.328125Z,2026-05-04T22:13:32.752187488Z,0.9330624938011168,0.3318772614002228,0.1909709721803665,-0.49265646096274607,3821.1093744,-2.539056799999357,277.7655439999909,-0.5418768349851072
22.828124988,2026-05-04T22:12:31.335937Z,2026-05-04T22:13:32.759999988Z,0.9349995851516724,0.3323738276958466,0.1845434606075287,-0.4821782809432161,3821.4999994,-6.2499942999991065,330.4999189999873,-0.5422750619121623
22.835937488,2026-05-04T22:12:31.343750Z,2026-05-04T22:13:32.767812488Z,0.9355463981628418,0.333646297454834,0.1770088225603104,-0.4858582317092939,3821.8906244,-9.960931799998857,383.2342939999837,-0.5426732888392174
22.843749988,2026-05-04T22:12:31.351562Z,2026-05-04T22:13:32.775624988Z,0.9342966079711914,0.3355704843997955,0.1653685718774796,-0.5143842390330475,3824.953118699999,-11.14062469999994,420.3593272999903,-0.5248920220975798
22.851562488,2026-05-04T22:12:31.359375Z,2026-05-04T22:13:32.783437488Z,0.9351558089256288,0.3360360264778137,0.1550968587398529,-0.5208307054853859,3829.054681199999,-11.335937199999943,451.414014799991,-0.5000408983972688
22.859374988,2026-05-04T22:12:31.367187Z,2026-05-04T22:13:32.791249988Z,0.9336092472076416,0.3348256349563599,0.1420880556106567,-0.5595579460841174,3833.156243699999,-11.531249699999947,482.46870229999166,-0.47518977469695795
22.867187488,2026-05-04T22:12:31.375000Z,2026-05-04T22:13:32.799062488Z,0.9347496628761292,0.3355549573898315,0.1268496364355087,-0.5521178419455657,3837.257806199999,-11.726562199999952,513.5233897999923,-0.450338650996647
22.874999988,2026-05-04T22:12:31.382812Z,2026-05-04T22:13:32.806874988Z,0.9341560006141664,0.3365480899810791,0.1099197641015053,-0.5269344752633719,3841.359368699999,-11.921874699999956,544.578077299993,-0.42548752729633604
22.882812488,2026-05-04T22:12:31.390625Z,2026-05-04T22:13:32.814687488Z,0.9365462064743042,0.3350739181041718,0.0966956987977027,-0.532956032901496,3843.0,-8.484384000001203,558.0546847999997,-0.41465975910908887
22.890624988,2026-05-04T22:12:31.398437Z,2026-05-04T22:13:32.822499988Z,0.9369211196899414,0.3336617946624756,0.0819647088646888,-0.5170503289327549,3843.0,-2.6250090000010773,559.8124972999997,-0.4131809544303626
22.898437488,2026-05-04T22:12:31.406250Z,2026-05-04T22:13:32.830312488Z,0.9358900785446168,0.3336617946624756,0.0653731226921081,-0.49182873591501997,3843.0,3.234365999999048,561.5703097999997,-0.41170214975163644
22.906249988,2026-05-04T22:12:31.414062Z,2026-05-04T22:13:32.838124988Z,0.9360306859016418,0.3338945806026459,0.0483509823679924,-0.48353738591883655,3843.0,9.093740999999174,563.3281222999998,-0.4102233450729102
22.914062488,2026-05-04T22:12:31.421875Z,2026-05-04T22:13:32.845937488Z,0.9377803206443788,0.3325600624084473,0.0329434089362621,-0.49092180881021763,3843.0,14.953115999999298,565.0859347999998,-0.408744540394184
22.921874988,2026-05-04T22:12:31.429687Z,2026-05-04T22:13:32.853749988Z,0.9395924806594848,0.3303099870681763,0.0166593603789806,-0.4978858264014924,3842.4375018,19.21874609999975,550.4375498000032,-0.4153773258792789
22.929687488,2026-05-04T22:12:31.437500Z,2026-05-04T22:13:32.861562488Z,0.9417170286178588,0.3293013274669647,0.0003138035535812,-0.5165365515193828,3841.2656268,21.757808599999805,518.0156748000026,-0.43079772145262474
22.937499988,2026-05-04T22:12:31.445312Z,2026-05-04T22:13:32.869374988Z,0.9399986267089844,0.3283392488956451,-0.0163854230195283,-0.49474120518977244,3840.0937518,24.29687109999986,485.5937998000018,-0.44621811702597053
22.945312488,2026-05-04T22:12:31.453125Z,2026-05-04T22:13:32.877187488Z,0.9395299553871156,0.3277806043624878,-0.0305013414472341,-0.49091846273458833,3838.9218768,26.835933599999912,453.17192480000114,-0.4616385125993164
22.953124988,2026-05-04T22:12:31.460937Z,2026-05-04T22:13:32.884999988Z,0.9422950148582458,0.326927125453949,-0.0406500399112701,-0.5229233894882739,3837.7500018,29.374996099999965,420.75004980000045,-0.47705890817266217
22.960937488,2026-05-04T22:12:31.468750Z,2026-05-04T22:13:32.892812488Z,0.9447633028030396,0.326927125453949,-0.0508448705077171,-0.55606106445788,3836.8593756,30.85937560000001,382.0000768000012,-0.4908212284445558
22.968749988,2026-05-04T22:12:31.476562Z,2026-05-04T22:13:32.900624988Z,0.9421231746673584,0.3268184959888458,-0.0633769780397415,-0.5337090037541673,3836.4687506,30.468750600000035,332.0000768000046,-0.5016358396402989
22.976562488,2026-05-04T22:12:31.484375Z,2026-05-04T22:13:32.908437488Z,0.9416701793670654,0.326321929693222,-0.0731720104813575,-0.5340199307355445,3836.0781256,30.078125600000064,282.00007680000795,-0.5124504508360419
22.984374988,2026-05-04T22:12:31.492187Z,2026-05-04T22:13:32.916249988Z,0.9436072707176208,0.3258408904075623,-0.0798609256744384,-0.5597782689957161,3835.6875006,29.68750060000009,232.00007680001133,-0.523265062031785
22.992187488,2026-05-04T22:12:31.500000Z,2026-05-04T22:13:32.924062488Z,0.944232165813446,0.3267253935337067,-0.0856579840183258,-0.5483817790999997,3835.2968756,29.296875600000114,182.0000768000147,-0.5340796732275281
22.999999988,2026-05-04T22:12:31.507812Z,2026-05-04T22:13:32.931874988Z,0.9424043893814088,0.3277029991149902,-0.0909014791250228,-0.5601532651765866,3833.0312626000027,28.015631300001395,130.21883820001955,-0.5386768619708352
