relative_time_s,sample_ts_utc,sample_ts_et,batch_id,sample_in_batch,x_raw,y_raw,z_raw
4.360,2026-05-03T23:57:15.937Z,2026-05-03 19:57:15.937,102630,24,3804,-954,1299
4.400,2026-05-03T23:57:15.977Z,2026-05-03 19:57:15.977,102630,25,3928,213,1776
4.440,2026-05-03T23:57:16.017Z,2026-05-03 19:57:16.017,102630,26,4041,1355,1364
4.480,2026-05-03T23:57:16.057Z,2026-05-03 19:57:16.057,102630,27,3819,1443,192
4.520,2026-05-03T23:57:16.097Z,2026-05-03 19:57:16.097,102630,28,3739,1282,114
4.560,2026-05-03T23:57:16.137Z,2026-05-03 19:57:16.137,102630,29,3896,1722,67
4.600,2026-05-03T23:57:16.177Z,2026-05-03 19:57:16.177,102630,30,3715,1124,255
4.640,2026-05-03T23:57:16.217Z,2026-05-03 19:57:16.217,102630,31,3886,1775,-729
4.680,2026-05-03T23:57:16.257Z,2026-05-03 19:57:16.257,102630,32,3691,1050,-33
4.720,2026-05-03T23:57:16.297Z,2026-05-03 19:57:16.297,102630,33,3916,1218,-319
4.760,2026-05-03T23:57:16.337Z,2026-05-03 19:57:16.337,102630,34,3693,-1711,172
4.800,2026-05-03T23:57:16.377Z,2026-05-03 19:57:16.377,102630,35,3900,-834,427
4.840,2026-05-03T23:57:16.417Z,2026-05-03 19:57:16.417,102630,36,3637,-1611,181
4.880,2026-05-03T23:57:16.457Z,2026-05-03 19:57:16.457,102630,37,3737,-949,92
4.920,2026-05-03T23:57:16.497Z,2026-05-03 19:57:16.497,102630,38,3665,-1345,-527
4.960,2026-05-03T23:57:16.537Z,2026-05-03 19:57:16.537,102630,39,3741,-886,-1183
5.000,2026-05-03T23:57:16.577Z,2026-05-03 19:57:16.577,102630,40,3641,-1312,-571
5.040,2026-05-03T23:57:16.617Z,2026-05-03 19:57:16.617,102630,41,3698,-802,-527
5.080,2026-05-03T23:57:16.657Z,2026-05-03 19:57:16.657,102630,42,3714,-1148,-242
5.120,2026-05-03T23:57:16.697Z,2026-05-03 19:57:16.697,102630,43,3837,308,-545
5.160,2026-05-03T23:57:16.737Z,2026-05-03 19:57:16.737,102630,44,3910,772,-416
5.200,2026-05-03T23:57:16.777Z,2026-05-03 19:57:16.777,102630,45,3831,1231,41
5.240,2026-05-03T23:57:16.817Z,2026-05-03 19:57:16.817,102630,46,3844,1355,789
5.280,2026-05-03T23:57:16.857Z,2026-05-03 19:57:16.857,102630,47,3900,1210,523
5.320,2026-05-03T23:57:16.897Z,2026-05-03 19:57:16.897,102630,48,3814,374,1172
5.360,2026-05-03T23:57:16.937Z,2026-05-03 19:57:16.937,102630,49,3892,-61,1289
5.400,2026-05-03T23:57:16.977Z,2026-05-03 19:57:16.977,102630,50,3807,-656,1294
5.440,2026-05-03T23:57:17.017Z,2026-05-03 19:57:17.017,102630,51,3814,-666,1030
5.480,2026-05-03T23:57:17.057Z,2026-05-03 19:57:17.057,102630,52,3854,-219,524
5.520,2026-05-03T23:57:17.097Z,2026-05-03 19:57:17.097,102630,53,3785,16,-249
5.560,2026-05-03T23:57:17.137Z,2026-05-03 19:57:17.137,102630,54,3771,322,-856
5.600,2026-05-03T23:57:17.177Z,2026-05-03 19:57:17.177,102630,55,3753,371,-1282
5.640,2026-05-03T23:57:17.217Z,2026-05-03 19:57:17.217,102630,56,3745,-61,-1314
5.680,2026-05-03T23:57:17.257Z,2026-05-03 19:57:17.257,102630,57,3747,-298,-958
5.720,2026-05-03T23:57:17.297Z,2026-05-03 19:57:17.297,102630,58,3745,-831,-305
5.760,2026-05-03T23:57:17.337Z,2026-05-03 19:57:17.337,102630,59,3775,-775,329
5.800,2026-05-03T23:57:17.377Z,2026-05-03 19:57:17.377,102630,60,3839,-509,654
5.840,2026-05-03T23:57:17.417Z,2026-05-03 19:57:17.417,102630,61,3862,-194,783
5.880,2026-05-03T23:57:17.457Z,2026-05-03 19:57:17.457,102630,62,3866,164,731
5.920,2026-05-03T23:57:17.497Z,2026-05-03 19:57:17.497,102630,63,3866,675,528
5.960,2026-05-03T23:57:17.537Z,2026-05-03 19:57:17.537,102630,64,3866,898,388
6.000,2026-05-03T23:57:17.577Z,2026-05-03 19:57:17.577,102630,65,3857,496,178
6.040,2026-05-03T23:57:17.617Z,2026-05-03 19:57:17.617,102630,66,3802,-74,81
6.080,2026-05-03T23:57:17.657Z,2026-05-03 19:57:17.657,102630,67,3789,-324,79
6.120,2026-05-03T23:57:17.697Z,2026-05-03 19:57:17.697,102630,68,3779,-482,-7
6.160,2026-05-03T23:57:17.737Z,2026-05-03 19:57:17.737,102630,69,3771,-467,-181
6.200,2026-05-03T23:57:17.777Z,2026-05-03 19:57:17.777,102630,70,3775,-266,-330
6.240,2026-05-03T23:57:17.817Z,2026-05-03 19:57:17.817,102630,71,3804,83,-386
6.280,2026-05-03T23:57:17.857Z,2026-05-03 19:57:17.857,102630,72,3796,218,-259
6.320,2026-05-03T23:57:17.897Z,2026-05-03 19:57:17.897,102630,73,3824,145,-47
6.360,2026-05-03T23:57:17.937Z,2026-05-03 19:57:17.937,102630,74,3809,-121,165
6.400,2026-05-03T23:57:17.977Z,2026-05-03 19:57:17.977,102630,75,3823,-298,354
6.440,2026-05-03T23:57:18.017Z,2026-05-03 19:57:18.017,102630,76,3828,-221,474
6.480,2026-05-03T23:57:18.057Z,2026-05-03 19:57:18.057,102630,77,3845,-45,451
6.520,2026-05-03T23:57:18.097Z,2026-05-03 19:57:18.097,102630,78,3834,136,319
6.560,2026-05-03T23:57:18.137Z,2026-05-03 19:57:18.137,102630,79,3826,263,96
6.600,2026-05-03T23:57:18.177Z,2026-05-03 19:57:18.177,102630,80,3810,66,-44
6.640,2026-05-03T23:57:18.217Z,2026-05-03 19:57:18.217,102630,81,3778,-153,-152
6.680,2026-05-03T23:57:18.257Z,2026-05-03 19:57:18.257,102630,82,3790,-269,-189
6.720,2026-05-03T23:57:18.297Z,2026-05-03 19:57:18.297,102630,83,3788,-212,-184
6.760,2026-05-03T23:57:18.337Z,2026-05-03 19:57:18.337,102630,84,3808,-16,-131
6.800,2026-05-03T23:57:18.377Z,2026-05-03 19:57:18.377,102630,85,3819,99,3
6.840,2026-05-03T23:57:18.417Z,2026-05-03 19:57:18.417,102630,86,3814,98,162
6.880,2026-05-03T23:57:18.457Z,2026-05-03 19:57:18.457,102630,87,3828,-49,299
6.920,2026-05-03T23:57:18.497Z,2026-05-03 19:57:18.497,102630,88,3818,-191,334
6.960,2026-05-03T23:57:18.537Z,2026-05-03 19:57:18.537,102630,89,3809,-164,318
7.000,2026-05-03T23:57:18.577Z,2026-05-03 19:57:18.577,102630,90,3823,-4,233
7.040,2026-05-03T23:57:18.617Z,2026-05-03 19:57:18.617,102630,91,3833,62,70
7.080,2026-05-03T23:57:18.657Z,2026-05-03 19:57:18.657,102630,92,3802,-214,-94
7.120,2026-05-03T23:57:18.697Z,2026-05-03 19:57:18.697,102630,93,3788,-261,-150
7.160,2026-05-03T23:57:18.737Z,2026-05-03 19:57:18.737,102630,94,3812,-29,-257
7.200,2026-05-03T23:57:18.777Z,2026-05-03 19:57:18.777,102630,95,3779,-291,-202
7.240,2026-05-03T23:57:18.817Z,2026-05-03 19:57:18.817,102630,96,3796,-333,-113
7.280,2026-05-03T23:57:18.857Z,2026-05-03 19:57:18.857,102630,97,3802,-257,-40
7.320,2026-05-03T23:57:18.897Z,2026-05-03 19:57:18.897,102630,98,3807,-202,58
7.360,2026-05-03T23:57:18.937Z,2026-05-03 19:57:18.937,102630,99,3824,-67,91
7.400,2026-05-03T23:57:18.977Z,2026-05-03 19:57:18.977,102630,100,3819,-71,162
7.440,2026-05-03T23:57:19.017Z,2026-05-03 19:57:19.017,102631,1,3819,-168,301
7.480,2026-05-03T23:57:19.057Z,2026-05-03 19:57:19.057,102631,2,3819,-185,368
7.520,2026-05-03T23:57:19.097Z,2026-05-03 19:57:19.097,102631,3,3824,-111,371
7.560,2026-05-03T23:57:19.137Z,2026-05-03 19:57:19.137,102631,4,3822,-67,356
7.600,2026-05-03T23:57:19.177Z,2026-05-03 19:57:19.177,102631,5,3800,-51,252
7.640,2026-05-03T23:57:19.217Z,2026-05-03 19:57:19.217,102631,6,3820,78,69
7.680,2026-05-03T23:57:19.257Z,2026-05-03 19:57:19.257,102631,7,3814,-17,41
7.720,2026-05-03T23:57:19.297Z,2026-05-03 19:57:19.297,102631,8,3796,60,-75
7.760,2026-05-03T23:57:19.337Z,2026-05-03 19:57:19.337,102631,9,3797,131,-196
7.800,2026-05-03T23:57:19.377Z,2026-05-03 19:57:19.377,102631,10,3801,189,-125
7.840,2026-05-03T23:57:19.417Z,2026-05-03 19:57:19.417,102631,11,3794,257,-27
7.880,2026-05-03T23:57:19.457Z,2026-05-03 19:57:19.457,102631,12,3806,356,75
7.920,2026-05-03T23:57:19.497Z,2026-05-03 19:57:19.497,102631,13,3825,409,172
7.960,2026-05-03T23:57:19.537Z,2026-05-03 19:57:19.537,102631,14,3800,390,299
8.000,2026-05-03T23:57:19.577Z,2026-05-03 19:57:19.577,102631,15,3834,484,307
8.040,2026-05-03T23:57:19.617Z,2026-05-03 19:57:19.617,102631,16,3825,412,328
8.080,2026-05-03T23:57:19.657Z,2026-05-03 19:57:19.657,102631,17,3820,303,314
8.120,2026-05-03T23:57:19.697Z,2026-05-03 19:57:19.697,102631,18,3808,234,243
8.160,2026-05-03T23:57:19.737Z,2026-05-03 19:57:19.737,102631,19,3809,182,155
