sample_ts_utc,sample_ts_et,batch_id,sample_in_batch,x_raw,y_raw,z_raw
2026-05-03T23:56:08.097Z,2026-05-03 19:56:08.097,102613,28,3824,-56,67
2026-05-03T23:56:08.137Z,2026-05-03 19:56:08.137,102613,29,3817,-53,76
2026-05-03T23:56:08.177Z,2026-05-03 19:56:08.177,102613,30,3816,-42,87
2026-05-03T23:56:08.217Z,2026-05-03 19:56:08.217,102613,31,3814,-48,87
2026-05-03T23:56:08.257Z,2026-05-03 19:56:08.257,102613,32,3829,-42,86
2026-05-03T23:56:08.297Z,2026-05-03 19:56:08.297,102613,33,3792,-57,80
2026-05-03T23:56:08.337Z,2026-05-03 19:56:08.337,102613,34,3840,-64,83
2026-05-03T23:56:08.377Z,2026-05-03 19:56:08.377,102613,35,3811,-46,69
2026-05-03T23:56:08.417Z,2026-05-03 19:56:08.417,102613,36,3807,-48,61
2026-05-03T23:56:08.457Z,2026-05-03 19:56:08.457,102613,37,3824,-50,61
2026-05-03T23:56:08.497Z,2026-05-03 19:56:08.497,102613,38,3821,-51,76
2026-05-03T23:56:08.537Z,2026-05-03 19:56:08.537,102613,39,3819,-53,79
2026-05-03T23:56:08.577Z,2026-05-03 19:56:08.577,102613,40,3809,-56,81
2026-05-03T23:56:08.617Z,2026-05-03 19:56:08.617,102613,41,3806,-45,79
2026-05-03T23:56:08.657Z,2026-05-03 19:56:08.657,102613,42,3816,-51,75
2026-05-03T23:56:08.697Z,2026-05-03 19:56:08.697,102613,43,3819,-58,77
2026-05-03T23:56:08.737Z,2026-05-03 19:56:08.737,102613,44,3810,-42,83
2026-05-03T23:56:08.777Z,2026-05-03 19:56:08.777,102613,45,3808,-44,82
2026-05-03T23:56:08.817Z,2026-05-03 19:56:08.817,102613,46,3844,-41,85
2026-05-03T23:56:08.857Z,2026-05-03 19:56:08.857,102613,47,3822,-47,66
2026-05-03T23:56:08.897Z,2026-05-03 19:56:08.897,102613,48,3810,-41,54
2026-05-03T23:56:08.937Z,2026-05-03 19:56:08.937,102613,49,3813,-49,69
2026-05-03T23:56:08.977Z,2026-05-03 19:56:08.977,102613,50,3806,-54,67
2026-05-03T23:56:09.017Z,2026-05-03 19:56:09.017,102613,51,3811,-50,72
2026-05-03T23:56:09.057Z,2026-05-03 19:56:09.057,102613,52,3820,-39,82
2026-05-03T23:56:09.097Z,2026-05-03 19:56:09.097,102613,53,3811,-49,85
2026-05-03T23:56:09.137Z,2026-05-03 19:56:09.137,102613,54,3815,-49,77
2026-05-03T23:56:09.177Z,2026-05-03 19:56:09.177,102613,55,3810,-36,96
2026-05-03T23:56:09.217Z,2026-05-03 19:56:09.217,102613,56,3817,-54,83
2026-05-03T23:56:09.257Z,2026-05-03 19:56:09.257,102613,57,3813,-47,70
2026-05-03T23:56:09.297Z,2026-05-03 19:56:09.297,102613,58,3804,-59,75
2026-05-03T23:56:09.337Z,2026-05-03 19:56:09.337,102613,59,3803,-54,52
2026-05-03T23:56:09.377Z,2026-05-03 19:56:09.377,102613,60,3814,-70,68
2026-05-03T23:56:09.417Z,2026-05-03 19:56:09.417,102613,61,3815,-40,72
2026-05-03T23:56:09.457Z,2026-05-03 19:56:09.457,102613,62,3827,-59,79
2026-05-03T23:56:09.497Z,2026-05-03 19:56:09.497,102613,63,3820,-52,83
2026-05-03T23:56:09.537Z,2026-05-03 19:56:09.537,102613,64,3814,-49,98
2026-05-03T23:56:09.577Z,2026-05-03 19:56:09.577,102613,65,3821,-39,86
2026-05-03T23:56:09.617Z,2026-05-03 19:56:09.617,102613,66,3816,-58,88
2026-05-03T23:56:09.657Z,2026-05-03 19:56:09.657,102613,67,3823,-59,76
2026-05-03T23:56:09.697Z,2026-05-03 19:56:09.697,102613,68,3805,-58,70
2026-05-03T23:56:09.737Z,2026-05-03 19:56:09.737,102613,69,3818,-64,69
2026-05-03T23:56:09.777Z,2026-05-03 19:56:09.777,102613,70,3818,-53,75
2026-05-03T23:56:09.817Z,2026-05-03 19:56:09.817,102613,71,3808,-64,73
2026-05-03T23:56:09.857Z,2026-05-03 19:56:09.857,102613,72,3822,-56,64
2026-05-03T23:56:09.897Z,2026-05-03 19:56:09.897,102613,73,3811,-52,65
2026-05-03T23:56:09.937Z,2026-05-03 19:56:09.937,102613,74,3819,-45,70
2026-05-03T23:56:09.977Z,2026-05-03 19:56:09.977,102613,75,3817,-56,97
2026-05-03T23:56:10.017Z,2026-05-03 19:56:10.017,102613,76,3811,-49,88
2026-05-03T23:56:10.057Z,2026-05-03 19:56:10.057,102613,77,3811,-52,81
2026-05-03T23:56:10.097Z,2026-05-03 19:56:10.097,102613,78,3814,-44,88
2026-05-03T23:56:10.137Z,2026-05-03 19:56:10.137,102613,79,3813,-53,77
2026-05-03T23:56:10.177Z,2026-05-03 19:56:10.177,102613,80,3827,-50,67
2026-05-03T23:56:10.217Z,2026-05-03 19:56:10.217,102613,81,3824,-57,53
2026-05-03T23:56:10.257Z,2026-05-03 19:56:10.257,102613,82,3815,-50,65
2026-05-03T23:56:10.297Z,2026-05-03 19:56:10.297,102613,83,3807,-59,59
2026-05-03T23:56:10.337Z,2026-05-03 19:56:10.337,102613,84,3819,-58,62
2026-05-03T23:56:10.377Z,2026-05-03 19:56:10.377,102613,85,3823,-50,80
2026-05-03T23:56:10.417Z,2026-05-03 19:56:10.417,102613,86,3816,-45,69
2026-05-03T23:56:10.457Z,2026-05-03 19:56:10.457,102613,87,3803,-55,78
2026-05-03T23:56:10.497Z,2026-05-03 19:56:10.497,102613,88,3812,-49,83
2026-05-03T23:56:10.537Z,2026-05-03 19:56:10.537,102613,89,3819,-60,78
2026-05-03T23:56:10.577Z,2026-05-03 19:56:10.577,102613,90,3811,-51,78
2026-05-03T23:56:10.617Z,2026-05-03 19:56:10.617,102613,91,3827,-49,72
2026-05-03T23:56:10.657Z,2026-05-03 19:56:10.657,102613,92,3820,-61,70
2026-05-03T23:56:10.697Z,2026-05-03 19:56:10.697,102613,93,3815,-46,55
2026-05-03T23:56:10.737Z,2026-05-03 19:56:10.737,102613,94,3812,-47,62
2026-05-03T23:56:10.777Z,2026-05-03 19:56:10.777,102613,95,3814,-49,66
2026-05-03T23:56:10.817Z,2026-05-03 19:56:10.817,102613,96,3834,-62,79
2026-05-03T23:56:10.857Z,2026-05-03 19:56:10.857,102613,97,3821,-58,83
2026-05-03T23:56:10.897Z,2026-05-03 19:56:10.897,102613,98,3832,-49,95
2026-05-03T23:56:10.937Z,2026-05-03 19:56:10.937,102613,99,3810,-49,91
2026-05-03T23:56:10.977Z,2026-05-03 19:56:10.977,102613,100,3836,-51,89
2026-05-03T23:56:11.017Z,2026-05-03 19:56:11.017,102614,1,3804,-53,79
2026-05-03T23:56:11.057Z,2026-05-03 19:56:11.057,102614,2,3819,-46,65
2026-05-03T23:56:11.097Z,2026-05-03 19:56:11.097,102614,3,3821,-51,69
2026-05-03T23:56:11.137Z,2026-05-03 19:56:11.137,102614,4,3820,-45,80
2026-05-03T23:56:11.177Z,2026-05-03 19:56:11.177,102614,5,3813,-51,70
2026-05-03T23:56:11.217Z,2026-05-03 19:56:11.217,102614,6,3805,-53,68
2026-05-03T23:56:11.257Z,2026-05-03 19:56:11.257,102614,7,3810,-49,68
2026-05-03T23:56:11.297Z,2026-05-03 19:56:11.297,102614,8,3810,-57,83
2026-05-03T23:56:11.337Z,2026-05-03 19:56:11.337,102614,9,3814,-68,90
2026-05-03T23:56:11.377Z,2026-05-03 19:56:11.377,102614,10,3813,-63,79
2026-05-03T23:56:11.417Z,2026-05-03 19:56:11.417,102614,11,3821,-50,79
2026-05-03T23:56:11.457Z,2026-05-03 19:56:11.457,102614,12,3813,-54,77
2026-05-03T23:56:11.497Z,2026-05-03 19:56:11.497,102614,13,3821,-57,79
2026-05-03T23:56:11.537Z,2026-05-03 19:56:11.537,102614,14,3812,-49,74
2026-05-03T23:56:11.577Z,2026-05-03 19:56:11.577,102614,15,3820,-44,54
2026-05-03T23:56:11.617Z,2026-05-03 19:56:11.617,102614,16,3823,-62,68
2026-05-03T23:56:11.657Z,2026-05-03 19:56:11.657,102614,17,3805,-45,75
2026-05-03T23:56:11.697Z,2026-05-03 19:56:11.697,102614,18,3815,-55,79
2026-05-03T23:56:11.737Z,2026-05-03 19:56:11.737,102614,19,3796,-54,74
2026-05-03T23:56:11.777Z,2026-05-03 19:56:11.777,102614,20,3818,-51,71
2026-05-03T23:56:11.817Z,2026-05-03 19:56:11.817,102614,21,3829,-46,76
2026-05-03T23:56:11.857Z,2026-05-03 19:56:11.857,102614,22,3813,-63,94
2026-05-03T23:56:11.897Z,2026-05-03 19:56:11.897,102614,23,3800,-60,78
2026-05-03T23:56:11.937Z,2026-05-03 19:56:11.937,102614,24,3822,-56,74
2026-05-03T23:56:11.977Z,2026-05-03 19:56:11.977,102614,25,3812,-60,66
2026-05-03T23:56:12.017Z,2026-05-03 19:56:12.017,102614,26,3817,-47,62
2026-05-03T23:56:12.057Z,2026-05-03 19:56:12.057,102614,27,3808,-47,76
2026-05-03T23:56:12.097Z,2026-05-03 19:56:12.097,102614,28,3833,-56,59
2026-05-03T23:56:12.137Z,2026-05-03 19:56:12.137,102614,29,3811,-68,66
2026-05-03T23:56:12.177Z,2026-05-03 19:56:12.177,102614,30,3818,-48,68
