relative_time_s,lord_dynamic_mag_norm,prototype_dynamic_mag_norm,lord_dynamic_envelope_norm,prototype_dynamic_envelope_norm,sample_ts_utc,sample_ts_et
3.600,1.77589822,0.89374659,1.02799604,1.07979323,2026-05-03T23:57:15.177Z,2026-05-03 19:57:15.177
3.640,0.34707485,0.67462492,1.05763527,1.10173315,2026-05-03T23:57:15.217Z,2026-05-03 19:57:15.217
3.680,1.13578589,0.90009042,1.07861160,1.11969451,2026-05-03T23:57:15.257Z,2026-05-03 19:57:15.257
3.720,0.57369450,0.85906468,1.10607531,1.18020955,2026-05-03T23:57:15.297Z,2026-05-03 19:57:15.297
3.760,0.68453647,1.32107222,1.08521085,1.12063103,2026-05-03T23:57:15.337Z,2026-05-03 19:57:15.337
3.800,1.36386691,0.80753702,0.83779109,1.13861100,2026-05-03T23:57:15.377Z,2026-05-03 19:57:15.377
3.840,0.22658510,0.97545063,0.93078723,1.14577924,2026-05-03T23:57:15.417Z,2026-05-03 19:57:15.417
3.880,1.13203941,0.83577555,0.87098493,1.28772545,2026-05-03T23:57:15.457Z,2026-05-03 19:57:15.457
3.920,0.55107003,0.94299294,0.90824058,1.48548664,2026-05-03T23:57:15.497Z,2026-05-03 19:57:15.497
3.960,0.18824011,2.27820697,1.23096403,1.61599261,2026-05-03T23:57:15.537Z,2026-05-03 19:57:15.537
4.000,0.71224914,0.66706710,1.46613395,1.68347395,2026-05-03T23:57:15.577Z,2026-05-03 19:57:15.577
4.040,1.35459320,1.39820843,1.47368786,1.60685068,2026-05-03T23:57:15.617Z,2026-05-03 19:57:15.617
4.080,1.31034558,2.18862525,1.38188673,1.62414697,2026-05-03T23:57:15.657Z,2026-05-03 19:57:15.657
4.120,0.78942277,2.54223716,1.39496911,1.65058790,2026-05-03T23:57:15.697Z,2026-05-03 19:57:15.697
4.160,3.29870575,2.22026079,1.39123066,1.64175450,2026-05-03T23:57:15.737Z,2026-05-03 19:57:15.737
4.200,2.67312545,1.64503413,1.43633928,1.64364860,2026-05-03T23:57:15.777Z,2026-05-03 19:57:15.777
4.240,0.78595252,0.23411976,1.40825542,1.53521687,2026-05-03T23:57:15.817Z,2026-05-03 19:57:15.817
4.280,0.16617215,1.03550584,1.46241300,1.53507792,2026-05-03T23:57:15.857Z,2026-05-03 19:57:15.857
4.320,0.44054115,1.29640873,1.42831935,1.45966613,2026-05-03T23:57:15.897Z,2026-05-03 19:57:15.897
4.360,1.09085732,0.71016058,1.36208992,1.33943155,2026-05-03T23:57:15.937Z,2026-05-03 19:57:15.937
4.400,1.11751599,0.96780016,1.37794940,1.09996414,2026-05-03T23:57:15.977Z,2026-05-03 19:57:15.977
4.440,-0.47358711,1.23808718,0.98163517,0.99318639,2026-05-03T23:57:16.017Z,2026-05-03 19:57:16.017
4.480,1.33984420,0.66505791,0.74802783,0.84971937,2026-05-03T23:57:16.057Z,2026-05-03 19:57:16.057
4.520,0.98132880,0.43887071,0.69734128,0.86603475,2026-05-03T23:57:16.097Z,2026-05-03 19:57:16.097
4.560,0.51326486,1.05304145,0.75897458,0.85745392,2026-05-03T23:57:16.137Z,2026-05-03 19:57:16.137
4.600,0.98102571,0.23519673,0.80214385,0.73193236,2026-05-03T23:57:16.177Z,2026-05-03 19:57:16.177
4.640,-0.01527759,1.37813900,0.89335536,0.74246941,2026-05-03T23:57:16.217Z,2026-05-03 19:57:16.217
4.680,1.06807879,0.13371690,0.86714479,0.65323027,2026-05-03T23:57:16.257Z,2026-05-03 19:57:16.257
4.720,0.20067253,0.45465706,0.87447696,0.58798267,2026-05-03T23:57:16.297Z,2026-05-03 19:57:16.297
4.760,0.86968243,0.95106596,0.79084607,0.59749652,2026-05-03T23:57:16.337Z,2026-05-03 19:57:16.337
4.800,0.90422669,-0.17272000,0.68382242,0.61532234,2026-05-03T23:57:16.377Z,2026-05-03 19:57:16.377
4.840,1.80958080,0.81922235,0.76605727,0.51817048,2026-05-03T23:57:16.417Z,2026-05-03 19:57:16.417
4.880,0.86567675,-0.10870329,0.68932609,0.51862952,2026-05-03T23:57:16.457Z,2026-05-03 19:57:16.457
4.920,-0.29375023,0.64441743,0.72424615,0.34899814,2026-05-03T23:57:16.497Z,2026-05-03 19:57:16.497
4.960,0.53177045,0.75990061,0.59693494,0.33526868,2026-05-03T23:57:16.537Z,2026-05-03 19:57:16.537
5.000,-0.44512111,0.63405094,0.57534020,0.32707334,2026-05-03T23:57:16.577Z,2026-05-03 19:57:16.577
5.040,1.28536268,0.00341049,0.51769106,0.30398108,2026-05-03T23:57:16.617Z,2026-05-03 19:57:16.617
5.080,0.12142068,0.24091718,0.45794098,0.35438211,2026-05-03T23:57:16.657Z,2026-05-03 19:57:16.657
5.120,0.45843343,-0.36481041,0.30643808,0.29072988,2026-05-03T23:57:16.697Z,2026-05-03 19:57:16.697
5.160,-0.62340926,-0.04486736,0.22202652,0.32086152,2026-05-03T23:57:16.737Z,2026-05-03 19:57:16.737
5.200,-0.11485157,0.37037928,0.27204556,0.30341896,2026-05-03T23:57:16.777Z,2026-05-03 19:57:16.777
5.240,0.28229932,0.76218701,0.22531374,0.24294745,2026-05-03T23:57:16.817Z,2026-05-03 19:57:16.817
5.280,0.32419421,0.44024940,0.25860346,0.13648746,2026-05-03T23:57:16.857Z,2026-05-03 19:57:16.857
5.320,0.78608257,0.20110055,0.07918323,0.08540999,2026-05-03T23:57:16.897Z,2026-05-03 19:57:16.897
5.360,0.07323748,0.26697797,0.02108663,0.06600241,2026-05-03T23:57:16.937Z,2026-05-03 19:57:16.937
5.400,0.33422081,0.48045225,-0.01083529,0.15638818,2026-05-03T23:57:16.977Z,2026-05-03 19:57:16.977
5.440,0.04617198,0.17389874,0.09071032,0.21710421,2026-05-03T23:57:17.017Z,2026-05-03 19:57:17.017
5.480,0.05550444,-0.73792999,0.15641649,0.19496228,2026-05-03T23:57:17.057Z,2026-05-03 19:57:17.057
5.520,-0.28441265,-0.88879860,0.11499011,0.10415886,2026-05-03T23:57:17.097Z,2026-05-03 19:57:17.097
5.560,-0.76754691,0.03557192,0.07582798,0.03675402,2026-05-03T23:57:17.137Z,2026-05-03 19:57:17.137
5.600,0.17572692,0.61846860,-0.04170366,-0.01106044,2026-05-03T23:57:17.177Z,2026-05-03 19:57:17.177
5.640,0.55703202,0.58427235,-0.07170515,-0.07012000,2026-05-03T23:57:17.217Z,2026-05-03 19:57:17.217
5.680,0.55178087,0.13622382,-0.13395508,-0.16199360,2026-05-03T23:57:17.257Z,2026-05-03 19:57:17.257
5.720,-0.19814146,-0.13624360,-0.18555400,-0.20237606,2026-05-03T23:57:17.297Z,2026-05-03 19:57:17.297
5.760,-0.09625055,-0.30554537,-0.21204102,-0.15107188,2026-05-03T23:57:17.337Z,2026-05-03 19:57:17.337
5.800,-0.32230460,-0.37016180,-0.19940919,-0.14000472,2026-05-03T23:57:17.377Z,2026-05-03 19:57:17.377
5.840,-0.27379111,-0.40906920,-0.19653864,-0.21293842,2026-05-03T23:57:17.417Z,2026-05-03 19:57:17.417
5.880,-0.30026037,-0.46559471,-0.28352694,-0.36387373,2026-05-03T23:57:17.457Z,2026-05-03 19:57:17.457
